Registro 343 ,Potencia Media: 263 , Tiempo Total 6790 
Registro 344 ,Potencia Media: 266 , Tiempo Total 6796 
Registro 345 ,Potencia Media: 268 , Tiempo Total 6732 
Registro 346 ,Potencia Media: 270 , Tiempo Total 6732 
Registro 347 ,Potencia Media: 273 , Tiempo Total 6732 
Registro 348 ,Potencia Media: 275 , Tiempo Total 6732 
Registro 349 ,Potencia Media: 264 , Tiempo Total 6790 
Registro 350 ,Potencia Media: 267 , Tiempo Total 6796 
Registro 351 ,Potencia Media: 269 , Tiempo Total 6732 
Registro 352 ,Potencia Media: 272 , Tiempo Total 6732 
Registro 353 ,Potencia Media: 274 , Tiempo Total 6732 
Registro 354 ,Potencia Media: 276 , Tiempo Total 6732 
Registro 355 ,Potencia Media: 265 , Tiempo Total 6790 
Registro 356 ,Potencia Media: 268 , Tiempo Total 6796 
Registro 357 ,Potencia Media: 270 , Tiempo Total 6732 
Registro 358 ,Potencia Media: 273 , Tiempo Total 6732 
Registro 359 ,Potencia Media: 275 , Tiempo Total 6732 
Registro 360 ,Potencia Media: 277 , Tiempo Total 6732 
Registro 361 ,Potencia Media: 262 , Tiempo Total 6817 
Registro 362 ,Potencia Media: 265 , Tiempo Total 6822 
Registro 363 ,Potencia Media: 267 , Tiempo Total 6759 
Registro 364 ,Potencia Media: 270 , Tiempo Total 6759 
Registro 365 ,Potencia Media: 272 , Tiempo Total 6759 
Registro 366 ,Potencia Media: 275 , Tiempo Total 6759 
Registro 367 ,Potencia Media: 264 , Tiempo Total 6820 
Registro 368 ,Potencia Media: 266 , Tiempo Total 6825 
Registro 369 ,Potencia Media: 269 , Tiempo Total 6761 
Registro 370 ,Potencia Media: 271 , Tiempo Total 6761 
Registro 371 ,Potencia Media: 273 , Tiempo Total 6761 
Registro 372 ,Potencia Media: 276 , Tiempo Total 6761 
Registro 373 ,Potencia Media: 265 , Tiempo Total 6790 
Registro 374 ,Potencia Media: 267 , Tiempo Total 6796 
Registro 375 ,Potencia Media: 270 , Tiempo Total 6732 
Registro 376 ,Potencia Media: 272 , Tiempo Total 6732 
Registro 377 ,Potencia Media: 274 , Tiempo Total 6732 
Registro 378 ,Potencia Media: 277 , Tiempo Total 6732 
Registro 379 ,Potencia Media: 266 , Tiempo Total 6790 
Registro 380 ,Potencia Media: 268 , Tiempo Total 6796 
Registro 381 ,Potencia Media: 271 , Tiempo Total 6732 
Registro 382 ,Potencia Media: 273 , Tiempo Total 6732 
Registro 383 ,Potencia Media: 276 , Tiempo Total 6732 
Registro 384 ,Potencia Media: 278 , Tiempo Total 6732 
Registro 385 ,Potencia Media: 267 , Tiempo Total 6790 
Registro 386 ,Potencia Media: 269 , Tiempo Total 6796 
Registro 387 ,Potencia Media: 272 , Tiempo Total 6732 
Registro 388 ,Potencia Media: 274 , Tiempo Total 6732 
Registro 389 ,Potencia Media: 277 , Tiempo Total 6732 
Registro 390 ,Potencia Media: 279 , Tiempo Total 6732 
Registro 391 ,Potencia Media: 268 , Tiempo Total 6790 
Registro 392 ,Potencia Media: 270 , Tiempo Total 6796 
Registro 393 ,Potencia Media: 273 , Tiempo Total 6732 
Registro 394 ,Potencia Media: 275 , Tiempo Total 6732 
Registro 395 ,Potencia Media: 278 , Tiempo Total 6732 
Registro 396 ,Potencia Media: 280 , Tiempo Total 6732 
Registro 397 ,Potencia Media: 265 , Tiempo Total 6817 
Registro 398 ,Potencia Media: 268 , Tiempo Total 6822 
Registro 399 ,Potencia Media: 270 , Tiempo Total 6759 
Registro 400 ,Potencia Media: 272 , Tiempo Total 6759 
Registro 401 ,Potencia Media: 275 , Tiempo Total 6759 
Registro 402 ,Potencia Media: 277 , Tiempo Total 6759 
Registro 403 ,Potencia Media: 266 , Tiempo Total 6820 
Registro 404 ,Potencia Media: 269 , Tiempo Total 6825 
Registro 405 ,Potencia Media: 271 , Tiempo Total 6761 
Registro 406 ,Potencia Media: 274 , Tiempo Total 6761 
Registro 407 ,Potencia Media: 276 , Tiempo Total 6761 
Registro 408 ,Potencia Media: 278 , Tiempo Total 6761 
Registro 409 ,Potencia Media: 267 , Tiempo Total 6790 
Registro 410 ,Potencia Media: 270 , Tiempo Total 6796 
Registro 411 ,Potencia Media: 272 , Tiempo Total 6732 
Registro 412 ,Potencia Media: 275 , Tiempo Total 6732 
Registro 413 ,Potencia Media: 277 , Tiempo Total 6732 
Registro 414 ,Potencia Media: 280 , Tiempo Total 6732 
Registro 415 ,Potencia Media: 268 , Tiempo Total 6790 
Registro 416 ,Potencia Media: 271 , Tiempo Total 6796 
Registro 417 ,Potencia Media: 273 , Tiempo Total 6732 
Registro 418 ,Potencia Media: 276 , Tiempo Total 6732 
Registro 419 ,Potencia Media: 278 , Tiempo Total 6732 
Registro 420 ,Potencia Media: 281 , Tiempo Total 6732 
Registro 421 ,Potencia Media: 270 , Tiempo Total 6790 
Registro 422 ,Potencia Media: 272 , Tiempo Total 6796 
Registro 423 ,Potencia Media: 275 , Tiempo Total 6732 
Registro 424 ,Potencia Media: 277 , Tiempo Total 6732 
Registro 425 ,Potencia Media: 279 , Tiempo Total 6732 
Registro 426 ,Potencia Media: 282 , Tiempo Total 6732 
Registro 427 ,Potencia Media: 271 , Tiempo Total 6790 
Registro 428 ,Potencia Media: 273 , Tiempo Total 6796 
Registro 429 ,Potencia Media: 276 , Tiempo Total 6732 
Registro 430 ,Potencia Media: 278 , Tiempo Total 6732 
Registro 431 ,Potencia Media: 280 , Tiempo Total 6732 
Registro 432 ,Potencia Media: 283 , Tiempo Total 6732 
Registro 433 ,Potencia Media: 254 , Tiempo Total 6871 
Registro 434 ,Potencia Media: 257 , Tiempo Total 6876 
Registro 435 ,Potencia Media: 259 , Tiempo Total 6812 
Registro 436 ,Potencia Media: 261 , Tiempo Total 6812 
Registro 437 ,Potencia Media: 264 , Tiempo Total 6812 
Registro 438 ,Potencia Media: 266 , Tiempo Total 6812 
Registro 439 ,Potencia Media: 255 , Tiempo Total 6873 
Registro 440 ,Potencia Media: 258 , Tiempo Total 6878 
Registro 441 ,Potencia Media: 260 , Tiempo Total 6815 
Registro 442 ,Potencia Media: 262 , Tiempo Total 6815 
Registro 443 ,Potencia Media: 265 , Tiempo Total 6815 
Registro 444 ,Potencia Media: 267 , Tiempo Total 6815 
Registro 445 ,Potencia Media: 256 , Tiempo Total 6844 
Registro 446 ,Potencia Media: 259 , Tiempo Total 6849 
Registro 447 ,Potencia Media: 261 , Tiempo Total 6785 
Registro 448 ,Potencia Media: 264 , Tiempo Total 6785 
Registro 449 ,Potencia Media: 266 , Tiempo Total 6785 
Registro 450 ,Potencia Media: 268 , Tiempo Total 6785 
Registro 451 ,Potencia Media: 257 , Tiempo Total 6844 
