Registro 80 ,Tramo 1 :  250 watios 
Registro 80 ,Tramo 2 :  250 watios 
Registro 80 ,Tramo 3 :  270 watios 
Registro 80 ,Tramo 4 :  260 watios 
Registro 80 ,Tramo 5 :  260 watios 
Registro 81 ,Tramo 1 :  250 watios 
Registro 81 ,Tramo 2 :  250 watios 
Registro 81 ,Tramo 3 :  270 watios 
Registro 81 ,Tramo 4 :  260 watios 
Registro 81 ,Tramo 5 :  270 watios 
Registro 82 ,Tramo 1 :  250 watios 
Registro 82 ,Tramo 2 :  250 watios 
Registro 82 ,Tramo 3 :  270 watios 
Registro 82 ,Tramo 4 :  260 watios 
Registro 82 ,Tramo 5 :  280 watios 
Registro 83 ,Tramo 1 :  250 watios 
Registro 83 ,Tramo 2 :  250 watios 
Registro 83 ,Tramo 3 :  270 watios 
Registro 83 ,Tramo 4 :  260 watios 
Registro 83 ,Tramo 5 :  290 watios 
Registro 84 ,Tramo 1 :  250 watios 
Registro 84 ,Tramo 2 :  250 watios 
Registro 84 ,Tramo 3 :  270 watios 
Registro 84 ,Tramo 4 :  260 watios 
Registro 84 ,Tramo 5 :  300 watios 
Registro 85 ,Tramo 1 :  250 watios 
Registro 85 ,Tramo 2 :  250 watios 
Registro 85 ,Tramo 3 :  270 watios 
Registro 85 ,Tramo 4 :  270 watios 
Registro 85 ,Tramo 5 :  250 watios 
Registro 86 ,Tramo 1 :  250 watios 
Registro 86 ,Tramo 2 :  250 watios 
Registro 86 ,Tramo 3 :  270 watios 
Registro 86 ,Tramo 4 :  270 watios 
Registro 86 ,Tramo 5 :  260 watios 
Registro 87 ,Tramo 1 :  250 watios 
Registro 87 ,Tramo 2 :  250 watios 
Registro 87 ,Tramo 3 :  270 watios 
Registro 87 ,Tramo 4 :  270 watios 
Registro 87 ,Tramo 5 :  270 watios 
Registro 88 ,Tramo 1 :  250 watios 
Registro 88 ,Tramo 2 :  250 watios 
Registro 88 ,Tramo 3 :  270 watios 
Registro 88 ,Tramo 4 :  270 watios 
Registro 88 ,Tramo 5 :  280 watios 
Registro 89 ,Tramo 1 :  250 watios 
Registro 89 ,Tramo 2 :  250 watios 
Registro 89 ,Tramo 3 :  270 watios 
Registro 89 ,Tramo 4 :  270 watios 
Registro 89 ,Tramo 5 :  290 watios 
Registro 90 ,Tramo 1 :  250 watios 
Registro 90 ,Tramo 2 :  250 watios 
Registro 90 ,Tramo 3 :  270 watios 
Registro 90 ,Tramo 4 :  270 watios 
Registro 90 ,Tramo 5 :  300 watios 
Registro 91 ,Tramo 1 :  250 watios 
Registro 91 ,Tramo 2 :  250 watios 
Registro 91 ,Tramo 3 :  270 watios 
