,timeoffset,hr,spd,pwr,cad,dist,lat,lon,alt,temp,prueba,dist_c,ele_gain,porc,spd_c,bearing,wind,mult,viento_aparente,spd_prev,ele_prev,timeoffset_prev,new_ele,time_seg,tramo,tramos_100,altura,peso,tpo_bici,tpo_entreno
47,27935,,11.6000003814697,0.0,0.0,658.0,40.519418,-3.937292,631.6099968,22.2000007629395,20180406_LEVS_195_90_R_E,22.458638376926167,-1.0,-4.452629688482773,11.229319188463084,280.71521438918523,10.715214389185235,0.9825634597680812,9.825634597680812,12.21916205833716,632.6099968,27933,632.949289692467,70,0,6,195,90,R,E
48,27937,,10.3485266773538,158.044348235294,90.0,675.0,40.519505,-3.937458,631.0,22.2000007629395,20180406_LEVS_195_90_R_E,20.743818287829786,-0.6099967999999762,-2.940619665752934,10.371909143914893,290.1374135015371,20.137413501537083,0.9388696459714757,9.388696459714756,11.229319188463084,631.6099968,27935,632.3606514346089,72,0,6,195,90,R,E
49,27939,,9.30839612676101,236.809415397243,76.0,692.0,40.519626,-3.937585,630.0,22.2000007629395,20180406_LEVS_195_90_R_E,19.437193952388988,-1.0,-5.144775539357583,9.718596976194494,303.68369337057345,33.68369337057345,0.832111999584961,8.32111999584961,10.371909143914893,631.0,27937,631.8008441023344,74,0,6,195,90,R,E
50,27941,,8.68299915634766,202.849728,88.0,708.0,40.519764,-3.937649,630.0,22.2000007629395,20180406_LEVS_195_90_R_E,16.881158998397204,0.0,0.0,8.440579499198602,326.45482385236215,56.45482385236215,0.5525943097326118,5.5259430973261185,9.718596976194494,630.0,27939,631.3060355485713,76,0,6,195,90,R,E
51,27943,,8.2869570659971,162.478184246652,87.0,724.0,40.519906,-3.93769,630.0,22.1000003814697,20180406_LEVS_195_90_R_E,16.409063092465306,0.0,0.0,8.204531546232653,337.5681936410586,67.5681936410586,0.3815835568594301,3.815835568594301,8.440579499198602,630.0,27941,630.8873492438423,78,0,7,195,90,R,E
52,27945,,8.19999980926514,163.8299904,90.0,742.0,40.520058,-3.937719,630.0,22.1000003814697,20180406_LEVS_195_90_R_E,17.18277779945184,0.0,0.0,8.59138889972592,344.7402978239557,74.7402978239557,0.2631945828670733,2.631945828670733,8.204531546232653,630.0,27943,630.5354859667901,80,0,7,195,90,R,E
53,27947,,8.32910487962172,193.985165302282,90.0,758.0,40.520207,-3.937753,630.0,22.1000003814697,20180406_LEVS_195_90_R_E,16.969443578899853,0.0,0.0,8.484721789449926,341.9290374984632,71.92903749846317,0.3101946684235703,3.101946684235703,8.59138889972592,630.0,27945,630.2175534335441,82,0,7,195,90,R,E
54,27949,,8.39999961853027,186.588235294118,90.0,776.0,40.520361,-3.937783,630.0,22.0882356307086,20180406_LEVS_195_90_R_E,17.421757821675303,0.0,0.0,8.710878910837652,344.4335901727261,74.4335901727261,0.26835511160421,2.6835511160421,8.484721789449926,630.0,27947,629.927693100025,84,0,7,195,90,R,E
55,27951,,8.41159391942787,201.739138500352,90.0,793.0,40.520517,-3.93781,629.88405743331,22.0,20180406_LEVS_195_90_R_E,17.5804929478694,-0.11594256669002334,-0.6594955387987261,8.7902464739347,346.09782758463797,76.09782758463797,0.2402648477973156,2.4026484779731563,8.710878910837652,630.0,27949,629.682997254472,86,0,7,195,90,R,E
56,27953,,8.60000038146973,218.5100288,90.0,811.0,40.520671,-3.93784,629.3900032,22.0,20180406_LEVS_195_90_R_E,17.42175668043141,-0.4940542333099529,-2.835846248873904,8.710878340215706,344.4327274233855,74.43272742338547,0.2683696170705591,2.6836961707055913,8.7902464739347,629.88405743331,27951,629.5157786989075,88,0,7,195,90,R,E
