,tramo,tramo_inicial,tramo_final,pwr,time_seg,dist,spd,viento_aparente,porc,dist_acum,prueba,puntos_en_tramo,S,Z,T,CdA
27,27,1737,1840,272.274673518917,205,1395.744805735798,24.51064049097011,-14.55699335978625,2.655858088192967,24699.1000716809,20180415_LEVS_195_90_R_E.gpx,103,0.026549219177507154,-168.25510764355755,12.135533483120557,-0.12020965914082138
28,28,1840,1908,49.4861114114377,85,868.3856286090995,36.77868544697363,-18.69963371493866,-2.375986148529549,25563.6946767764,20180415_LEVS_195_90_R_E.gpx,68,-0.023753157734125056,-334.6683933342171,21.401001151695155,-0.10657814111894641
29,29,1908,1954,196.6071000553435,99,601.3397087582998,21.86689850030181,-9.204918818032112,1.607190827481332,26164.7861700361,20180415_LEVS_195_90_R_E.gpx,46,0.01606983293979601,-93.13777653801964,13.765343410483194,-0.24632581826888225
30,30,1954,1982,107.6880288893287,56,509.9998975987,32.78570770277357,-21.0775432535939,-1.506333985786823,26674.8243260409,20180415_LEVS_195_90_R_E.gpx,28,-0.015061631181044519,-331.4184965129756,20.707984422006504,-0.10413814477207245
31,31,1982,2012,225.3026140336,60,408.7200102408024,24.52320061444814,-17.11282969303607,1.300215303882292,27089.963426056,20180415_LEVS_195_90_R_E.gpx,30,0.013001054132267762,-196.9248284031032,17.181239299055502,-0.14541284135661547
32,32,2012,2097,138.7471604856834,101,1110.560096255398,39.58432026256865,-10.54203806862159,-1.850920936461603,28201.6999897599,20180415_LEVS_195_90_R_E.gpx,85,-0.018506039636321178,-201.26651910451343,24.542856903684946,-0.20323679113713197
33,33,2097,2364,187.1250350344686,540,3562.796876658202,23.75197917772135,-1.082547917491724,1.850824805204204,31760.7300130558,20180415_LEVS_195_90_R_E.gpx,267,0.018505078817515393,-0.99883952251649,7.609218247923344,-12.696764722779784
34,34,2364,2392,70.39982798338983,49,466.4230680463006,34.267817244218,-5.467775073676824,-0.8437171519583012,32229.8141822703,20180415_LEVS_195_90_R_E.gpx,28,-0.008436871231946084,-82.74922173437457,10.430256156885484,-0.2100776284915134
35,35,2392,2420,153.4111701851779,54,446.0199938558981,29.73466625705987,3.218574682505297,0.5620954464370019,32669.8061043252,20180415_LEVS_195_90_R_E.gpx,28,0.005620865669083181,70.48705068620839,9.19645167349814,0.21745014590075934
42,42,2440,2488,72.87805228687112,94,738.4799549433956,28.28221104038536,-11.79881822886872,-0.5522155183379623,33747.9911410029,20180415_LEVS_195_90_R_E.gpx,48,-0.005522070988458797,-158.93302257551076,9.737473867291847,-0.10211297091793778
45,45,2495,2680,217.0803349818042,408,2374.740005576299,20.95358828449676,-14.53727164678183,2.734520020551302,36224.0314055917,20180415_LEVS_195_90_R_E.gpx,185,0.027334982112565583,-141.27928491192054,8.747643651314608,-0.10319563901115271
47,47,2684,2765,191.3145851065897,162,1182.719983615796,26.28266630257325,-12.82593861970201,1.487885549059953,37462.2399262711,20180415_LEVS_195_90_R_E.gpx,81,0.014877208820950758,-159.98295736182843,8.655231068972414,-0.090168261375045
49,49,2771,3028,240.7213751212581,630,3288.725781410503,18.79271875091716,-6.357365958754819,3.72633530593552,40866.0399877118,20180415_LEVS_195_90_R_E.gpx,257,0.03723750881707189,-52.81451345436017,8.821945693889237,-0.27839398418115857
51,51,3041,3429,254.7834228332819,1048,4835.356090245201,16.61000183672015,-0.01117750850097203,4.990099413684296,45908.0399354888,20180415_LEVS_195_90_R_E.gpx,388,0.049838980465760456,9.124644862393323,6.803628672629369,1.242720269342594
52,52,3429,3538,27.4890324492645,130,1607.394031353295,44.51245009901432,1.806156726979757,-5.3247206802141,47516.0399354888,20180415_LEVS_195_90_R_E.gpx,109,-0.05317188196699816,69.64555272656271,44.754164423152176,1.0709983784813635
54,54,3553,3768,49.95814618151498,247,3624.448203450105,52.82596571830113,15.88413322508687,-5.297177455155476,51273.8000945226,20180415_LEVS_195_90_R_E.gpx,215,-0.0528976109574908,514.9794998009505,45.69336367517687,0.1478808499265124
56,56,3785,3917,54.2195572056566,166,1758.264219971003,38.13103127647958,17.39189053925435,-3.184215986076885,53234.285716898,20180415_LEVS_195_90_R_E.gpx,132,-0.03182602937460947,412.9514259959769,28.803639884526337,0.11625112168683553
57,57,3917,3978,163.3065466076735,143,775.9699613451012,19.53490811777877,17.76954074474051,1.575641440105612,54016.7099301129,20180415_LEVS_195_90_R_E.gpx,61,0.015754458885244377,228.06463009885422,11.770914254080644,0.08602031106254517
60,60,4017,4174,45.39513372686862,243,2139.2815822306,31.69306047749037,17.88243541202182,-3.838507784996027,56651.4155154928,20180415_LEVS_195_90_R_E.gpx,157,-0.03835683050174756,357.1423689883355,34.60715777790327,0.16150029037408684
61,61,4174,4205,174.9013249091691,62,487.7585201693,28.32146246144323,17.35430961075425,1.070528177159208,57142.2000438853,20180415_LEVS_195_90_R_E.gpx,31,0.010704668395299807,312.02796872855214,8.36641946468277,0.04468840565144505
66,66,4246,4291,97.59071204403469,57,564.5237338348015,35.65413055798746,22.67364322539476,-1.63588619386972,58282.1144680144,20180415_LEVS_195_90_R_E.gpx,45,-0.01635667346107785,508.59173570762795,19.880547865839777,0.06514900679022052
67,67,4291,4332,244.0509783144599,82,579.9808633979992,25.46257449064387,21.01649171936037,2.34855369988183,58857.049919361,20180415_LEVS_195_90_R_E.gpx,41,0.023479062712880406,345.5237777209349,9.360732993341902,0.04515238215579563
68,68,4332,4386,160.8199698486597,59,648.7600409583029,39.58535843135407,22.8838257119675,-1.591479697216521,59508.9714745465,20180415_LEVS_195_90_R_E.gpx,54,-0.0159127818989842,565.6564853519534,24.26029994476514,0.07148125105666767
69,69,4386,4419,236.0411243412957,56,494.2500256003987,31.7732159314542,22.89830584287504,0.8586559419295883,59993.7922155924,20180415_LEVS_195_90_R_E.gpx,33,0.008586242897567263,462.3055432448597,14.748868570525602,0.05317143170079432
71,71,4438,4477,212.3484239727184,70,648.1458430901985,33.33321478749592,22.90202666563263,1.345029471545996,60994.7999590395,20180415_LEVS_195_90_R_E.gpx,39,0.013449078231227088,483.0994462999735,6.645020179583701,0.022924956170954962
73,73,4488,4580,255.7790520389448,168,1497.087872727403,32.08045441558721,21.14091199800488,1.848148279983113,62603.7199836158,20180415_LEVS_195_90_R_E.gpx,92,0.01847832729242248,429.0918125171571,7.973963145847392,0.030972249268636246
74,74,4580,4630,63.25763150410739,52,649.730008648301,44.98130829103623,21.40051554520915,-2.8988323384235,63255.0399354888,20180415_LEVS_195_90_R_E.gpx,50,-0.02897615127919256,595.1183976886261,26.231257390637264,0.07346229336469448
82,82,4719,4761,31.15120518476206,48,527.3771696901968,39.55328772676476,22.206505577329,-1.976720580193494,64854.8800655352,20180415_LEVS_195_90_R_E.gpx,42,-0.019763344990367863,547.9909532432541,15.869829531305946,0.04826670172010821
83,83,4761,4798,224.4055835837886,76,544.3300053759012,25.7840528862269,21.6782697943445,2.01497177180718,65400.379924737,20180415_LEVS_195_90_R_E.gpx,37,0.020145628458472658,361.11565409290074,9.130697977264756,0.0421411528124809
84,84,4798,4827,80.21597381711793,60,410.3300053760031,24.61980032256019,21.35435728129177,-1.029021790149003,65811.379924737,20180415_LEVS_195_90_R_E.gpx,29,-0.01028967313644926,340.9412982754617,16.399734453380184,0.08016890559720394
85,85,4827,5155,239.5986932669631,696,4504.540024062997,23.29934495204999,22.50881843669808,2.685890804089419,70318.7199139851,20180415_LEVS_195_90_R_E.gpx,328,0.02684922525868604,343.3931645565413,8.900900393226461,0.043200725931363565
87,87,5164,5330,227.2264568069269,409,2123.030678418407,18.68682259732583,18.64730002903993,3.909868058315815,72588.3899825918,20180415_LEVS_195_90_R_E.gpx,166,0.039068829593964016,230.8001690986558,4.866608159754907,0.03514301411159041
89,89,5331,5543,227.3327391866673,628,2453.150056320694,14.06264363495939,16.56772909628419,5.452839610222722,75065.1600491514,20180415_LEVS_195_90_R_E.gpx,212,0.05444751053945897,158.4290421647403,5.710379754142384,0.060072947864829425
90,90,5543,5665,12.15518872612183,149,1797.019911169496,43.41793073966569,-11.86531791318586,-5.83065103627928,76855.920077823,20180415_LEVS_195_90_R_E.gpx,122,-0.058207651516331026,-251.22002309235572,47.984883633260935,-0.31834566795670527
92,92,5678,5773,140.3771763240051,107,1208.976725646105,40.67585245164467,-2.419267516034756,-2.298993753856324,78305.0399354888,20180415_LEVS_195_90_R_E.gpx,95,-0.02298386442692685,-31.62056638901861,28.301979566585533,-1.4917495583093257
94,94,5783,6339,86.33315664698252,594,7978.285226816894,48.35324379889026,-14.83850350819875,-3.418624920076051,86393.4339706889,20180415_LEVS_195_90_R_E.gpx,556,-0.034166289965349504,-354.7532297864233,32.178601253538815,-0.1511783335179768
96,96,6356,6394,128.444217958144,72,625.640008192102,31.2820004096051,-15.40802575495965,-1.068537812006906,87298.3899825918,20180415_LEVS_195_90_R_E.gpx,38,-0.010684768158460025,-232.0770207427384,19.8007191255202,-0.14219933725845307
97,97,6394,6428,212.5628767985552,68,493.4800573446992,26.12541480060172,-17.72810535457852,1.631311670923605,87797.0399877118,20180415_LEVS_195_90_R_E.gpx,34,0.016310946537192048,-218.5432760259247,10.475061254828084,-0.07988548420333218
99,99,6448,6509,212.4625932516578,142,826.6699989759945,20.95783095995479,5.888902754145712,2.345938395948998,88913.0499846398,20180415_LEVS_195_90_R_E.gpx,61,0.023452931272455194,82.88500644125351,11.374350480712941,0.2287174920427205
102,102,6511,6545,134.6104796140197,62,559.2628365790006,32.47332599490971,1.613778583949175,-1.018714615424635,89498.1831488231,20180415_LEVS_195_90_R_E.gpx,34,-0.010186617594829944,47.35543876317108,19.50221179379517,0.6863770492243961
104,104,6570,6616,130.0665238823948,52,574.3837774365093,39.76503074560448,2.387858527543263,-2.383206386767698,90436.8000409595,20180415_LEVS_195_90_R_E.gpx,46,-0.023825298833174087,75.2834581493887,28.39601348660425,0.6286465886095154
105,105,6616,6673,266.474534020136,107,855.2961531885958,28.77631917270042,-1.560180949765621,1.996910454996203,91284.0526143571,20180415_LEVS_195_90_R_E.gpx,57,0.01996512424897533,-8.76770410489403,11.29501970921951,-2.1470880658702054
107,107,6695,6728,235.6592847277778,66,516.3300010240055,28.16345460130939,1.669818170872992,1.199605133267401,92143.8799344632,20180415_LEVS_195_90_R_E.gpx,33,0.011995188278452933,41.98809207079713,15.118150022071116,0.6000967288765285
108,108,6728,6773,135.1540453777393,57,604.9799582729902,38.20926052250464,6.158028610656964,-2.291879511680342,92754.1599508474,20180415_LEVS_195_90_R_E.gpx,45,-0.022912778195927505,154.87212750440077,28.549135334886603,0.30723341243865165
109,109,6773,6806,259.2656398788394,62,427.935548847905,24.84787057826545,-1.714649553388456,2.536900337775251,93179.5200573433,20180415_LEVS_195_90_R_E.gpx,33,0.025360843744192802,-9.638435039446604,10.757239656539909,-1.860129023801486
110,110,6806,6879,65.42472734697795,88,1091.004565654293,44.63200495858473,4.721308192665062,-3.843987814466523,94270.8799344632,20180415_LEVS_195_90_R_E.gpx,73,-0.038411509731481414,143.58299626137187,34.77615476774521,0.4036707650307968
112,112,6905,7006,157.5491797471502,125,1251.837213615101,36.05291175211491,-11.23756371245108,-1.333681040377988,95885.1937369147,20180415_LEVS_195_90_R_E.gpx,101,-0.013335624449341485,-195.30816555528563,23.091318665434134,-0.19705029228879242
113,113,7006,7087,217.1316597870737,161,1138.592756688493,25.4592169197427,5.887242246756174,1.822192976966776,97021.5142355587,20180415_LEVS_195_90_R_E.gpx,81,0.01821890532966072,100.08757257042112,10.203014271381875,0.16990145078872615
114,114,7087,7146,125.8105352061652,71,903.0401023999002,45.78794885407945,7.737994933895787,-3.578462665929078,97923.3799856638,20180415_LEVS_195_90_R_E.gpx,59,-0.03576173682639082,226.89503043704178,37.0511778882253,0.27216093286880927
115,115,7146,7175,254.1795746043469,45,459.4513252522011,36.75610602017608,8.811046661569584,1.451388502985721,98385.5000541536,20180415_LEVS_195_90_R_E.gpx,29,0.014512356575647006,206.33247039780008,7.6676276901162,0.06193586234337674
116,116,7175,7433,154.2682225364974,294,3725.842905992497,45.62256619582649,0.4990436688984666,-2.722178330301135,102111.184614476,20180415_LEVS_195_90_R_E.gpx,258,-0.02721170288744553,38.013782522353615,31.783758571200142,1.393519072216769
118,118,7450,7484,109.3781540772674,42,420.8540401270002,36.07320343945716,-7.494828907321576,-2.557812063154315,102743.480045055,20180415_LEVS_195_90_R_E.gpx,34,-0.02556975761680243,-125.82641881894921,29.07665827219775,-0.38514246511346667
120,120,7488,7530,201.2814887963399,42,471.1101070099976,40.38086631514265,-7.322790796092194,-0.7839100865013273,103258.039935489,20180415_LEVS_195_90_R_E.gpx,42,-0.007838860013851015,-137.70671898619466,20.450902366512814,-0.24751760501198508
126,126,7560,7600,119.1018169143356,78,685.9858801810042,31.66088677758481,-14.84537046386414,-1.817381000673727,104311.719983616,20180415_LEVS_195_90_R_E.gpx,40,-0.018170809460042358,-226.52648639440508,25.17097550975361,-0.185195234858971
128,128,7601,7729,103.6197983737143,194,2025.980108545002,37.59550716887632,-19.36352044954337,-3.47640344105403,106358.848301096,20180415_LEVS_195_90_R_E.gpx,128,-0.034743046602202426,-354.61668994504174,36.18236597938599,-0.17005387791624393
